Source;Target;Type
C;F#m5-/7;Directed
Dm7;Csus4;Directed
Em7/5-;A7;Directed
Cmaj7;A7/13-;Directed
F7;A#;Directed
A;Em5-/7;Directed
Cdim;Em5-/7;Directed
Dm7;G#dim;Directed
Fm7;A#7;Directed
A7;Bb7M;Directed
G5+;G7+;Directed
G7;Am5+;Directed
G7/9;G6/9;Directed
D#dim;C7;Directed
A7;Ddim;Directed
D;F#m7;Directed
Amaj7;A7;Directed
Am6;Em5-/7;Directed
G;Am7;Directed
C5+;F;Directed
F#7;C#7;Directed
D#dim;D7;Directed
Emaj7;Fmaj7;Directed
D9;G;Directed
D#7;F;Directed
A;A#7;Directed
Am/D;G7;Directed
G7;D;Directed
Am7/F;F;Directed
Dm7/5-;G7;Directed
D#7;C7;Directed
G9;Em;Directed
A#;G#;Directed
C7;Am7;Directed
D#dim;D#;Directed
Cdim7;G;Directed
G7;G;Directed
F;A#7;Directed
F;F9;Directed
G#;G;Directed
F9;Dm5-/7;Directed
A#dim;E7;Directed
C7;G7/9;Directed
A7;A4/7;Directed
Bm;Am7;Directed
A;F#m;Directed
Bb9;G7;Directed
E7/9-;C;Directed
Am;G9/13-;Directed
F#m;A7;Directed
G7;G7/13-;Directed
Dm5-/7;G7/9-;Directed
Dm7/13;E7;Directed
A;F#7;Directed
Am6;G5+;Directed
Dm;A#;Directed
Am5-/7;D7/9-;Directed
Em7;Gm;Directed
A#dim;G;Directed
Dm7;A;Directed
Dm6;G;Directed
Cmaj7;Fm;Directed
F7;Bm4/7;Directed
F#dim;G7;Directed
D;F;Directed
Fm;F;Directed
G7/9-;C9;Directed
Fm;Fm6;Directed
Gm7;E;Directed
Fmaj7;F;Directed
C7;C9;Directed
G7;G6;Directed
C9;C7/9;Directed
Cmaj7;G;Directed
A#9;F;Directed
G#dim;Am/G;Directed
Fmaj7;Dm;Directed
G7/9-;C;Directed
D;D7;Directed
D7;Bm5-/7;Directed
Am;Fdim;Directed
F;C#;Directed
B;G#;Directed
C7;C;Directed
A;Em;Directed
C;Bb;Directed
Cdim;Em;Directed
G7;Ddim;Directed
F#dim;F;Directed
G7;Gm;Directed
Cdim;G7;Directed
A#;Bdim;Directed
Am7;G7/13;Directed
G;Bm5-/7;Directed
Fm;D#;Directed
Cmaj7;Em5-/7;Directed
C6/9;Am7;Directed
Fm7;Fm5-/7;Directed
Fmaj7;G4/7;Directed
C;Cm7;Directed
A#dim;A9;Directed
D;Cdim;Directed
Am7;C4/7;Directed
G7;D#7;Directed
Am7;G7;Directed
