Source;Target;Type;Id;Label;Weight
216.0;51.0;Directed;;;
176.0;236.0;Directed;;;
69.0;99.0;Directed;;;
59.0;178.0;Directed;;;
215.0;67.0;Directed;;;
108.0;67.0;Directed;;;
59.0;181.0;Directed;;;
99.0;233.0;Directed;;;
181.0;216.0;Directed;;;
67.0;178.0;Directed;;;
181.0;67.0;Directed;;;
173.0;69.0;Directed;;;
146.0;192.0;Directed;;;
225.0;111.0;Directed;;;
178.0;58.0;Directed;;;
80.0;181.0;Directed;;;
192.0;176.0;Directed;;;
216.0;61.0;Directed;;;
216.0;67.0;Directed;;;
111.0;216.0;Directed;;;
219.0;108.0;Directed;;;
111.0;219.0;Directed;;;
19.0;199.0;Directed;;;
51.0;199.0;Directed;;;
191.0;112.0;Directed;;;
112.0;215.0;Directed;;;
198.0;156.0;Directed;;;
51.0;112.0;Directed;;;
215.0;51.0;Directed;;;
51.0;19.0;Directed;;;
199.0;198.0;Directed;;;
156.0;191.0;Directed;;;
156.0;180.0;Directed;;;
156.0;189.0;Directed;;;
179.0;156.0;Directed;;;
168.0;199.0;Directed;;;
170.0;26.0;Directed;;;
199.0;180.0;Directed;;;
91.0;170.0;Directed;;;
199.0;91.0;Directed;;;
156.0;179.0;Directed;;;
199.0;204.0;Directed;;;
26.0;199.0;Directed;;;
199.0;179.0;Directed;;;
180.0;156.0;Directed;;;
204.0;156.0;Directed;;;
156.0;168.0;Directed;;;
32.0;199.0;Directed;;;
189.0;217.0;Directed;;;
187.0;32.0;Directed;;;
217.0;187.0;Directed;;;
172.0;34.0;Directed;;;
207.0;199.0;Directed;;;
81.0;199.0;Directed;;;
199.0;187.0;Directed;;;
116.0;59.0;Directed;;;
207.0;132.0;Directed;;;
116.0;163.0;Directed;;;
163.0;199.0;Directed;;;
207.0;156.0;Directed;;;
193.0;207.0;Directed;;;
59.0;199.0;Directed;;;
187.0;116.0;Directed;;;
198.0;156.0;Directed;;;
199.0;198.0;Directed;;;
199.0;207.0;Directed;;;
163.0;193.0;Directed;;;
156.0;116.0;Directed;;;
156.0;172.0;Directed;;;
81.0;197.0;Directed;;;
197.0;81.0;Directed;;;
34.0;199.0;Directed;;;
199.0;81.0;Directed;;;
199.0;187.0;Directed;;;
198.0;170.0;Directed;;;
215.0;240.0;Directed;;;
170.0;178.0;Directed;;;
178.0;199.0;Directed;;;
233.0;199.0;Directed;;;
59.0;199.0;Directed;;;
198.0;132.0;Directed;;;
191.0;170.0;Directed;;;
198.0;156.0;Directed;;;
187.0;156.0;Directed;;;
199.0;198.0;Directed;;;
156.0;191.0;Directed;;;
240.0;199.0;Directed;;;
156.0;215.0;Directed;;;
170.0;19.0;Directed;;;
156.0;59.0;Directed;;;
19.0;199.0;Directed;;;
199.0;233.0;Directed;;;
116.0;199.0;Directed;;;
80.0;168.0;Directed;;;
51.0;116.0;Directed;;;
174.0;116.0;Directed;;;
116.0;59.0;Directed;;;
205.0;199.0;Directed;;;
199.0;205.0;Directed;;;
116.0;163.0;Directed;;;
198.0;199.0;Directed;;;
205.0;116.0;Directed;;;
163.0;199.0;Directed;;;
168.0;58.0;Directed;;;
168.0;116.0;Directed;;;
59.0;199.0;Directed;;;
73.0;168.0;Directed;;;
58.0;168.0;Directed;;;
176.0;116.0;Directed;;;
198.0;116.0;Directed;;;
168.0;80.0;Directed;;;
205.0;59.0;Directed;;;
59.0;116.0;Directed;;;
44.0;59.0;Directed;;;
59.0;209.0;Directed;;;
116.0;205.0;Directed;;;
59.0;168.0;Directed;;;
199.0;198.0;Directed;;;
116.0;51.0;Directed;;;
116.0;174.0;Directed;;;
116.0;186.0;Directed;;;
186.0;116.0;Directed;;;
209.0;198.0;Directed;;;
116.0;44.0;Directed;;;
168.0;199.0;Directed;;;
225.0;73.0;Directed;;;
116.0;225.0;Directed;;;
116.0;176.0;Directed;;;
59.0;216.0;Directed;;;
219.0;59.0;Directed;;;
168.0;237.0;Directed;;;
199.0;112.0;Directed;;;
116.0;59.0;Directed;;;
228.0;59.0;Directed;;;
112.0;228.0;Directed;;;
135.0;139.0;Directed;;;
237.0;198.0;Directed;;;
216.0;59.0;Directed;;;
207.0;156.0;Directed;;;
156.0;227.0;Directed;;;
59.0;199.0;Directed;;;
198.0;116.0;Directed;;;
191.0;170.0;Directed;;;
139.0;176.0;Directed;;;
198.0;156.0;Directed;;;
59.0;168.0;Directed;;;
199.0;198.0;Directed;;;
156.0;191.0;Directed;;;
199.0;207.0;Directed;;;
112.0;219.0;Directed;;;
170.0;19.0;Directed;;;
172.0;19.0;Directed;;;
227.0;59.0;Directed;;;
176.0;112.0;Directed;;;
59.0;39.0;Directed;;;
