Source;Target;Type;Id;Label;Weight
89;102;Directed;;;
187;198;Directed;;;
84;191;Directed;;;
84;133;Directed;;;
105;198;Directed;;;
108;133;Directed;;;
198;133;Directed;;;
35;133;Directed;;;
198;84;Directed;;;
198;87;Directed;;;
198;35;Directed;;;
87;198;Directed;;;
198;105;Directed;;;
35;108;Directed;;;
191;133;Directed;;;
133;198;Directed;;;
105;35;Directed;;;
84;198;Directed;;;
89;191;Directed;;;
133;84;Directed;;;
87;35;Directed;;;
133;87;Directed;;;
87;108;Directed;;;
105;89;Directed;;;
172;14;Directed;;;
3;108;Directed;;;
108;133;Directed;;;
207;105;Directed;;;
224;45;Directed;;;
198;87;Directed;;;
198;105;Directed;;;
133;198;Directed;;;
105;133;Directed;;;
135;207;Directed;;;
173;133;Directed;;;
198;135;Directed;;;
172;3;Directed;;;
45;173;Directed;;;
105;224;Directed;;;
105;172;Directed;;;
173;224;Directed;;;
105;135;Directed;;;
108;198;Directed;;;
14;108;Directed;;;
89;178;Directed;;;
35;133;Directed;;;
19;133;Directed;;;
198;84;Directed;;;
170;3;Directed;;;
133;198;Directed;;;
105;80;Directed;;;
80;150;Directed;;;
57;170;Directed;;;
150;35;Directed;;;
188;57;Directed;;;
3;164;Directed;;;
164;19;Directed;;;
84;35;Directed;;;
35;108;Directed;;;
108;233;Directed;;;
233;89;Directed;;;
178;188;Directed;;;
162;133;Directed;;;
84;133;Directed;;;
172;14;Directed;;;
14;133;Directed;;;
3;133;Directed;;;
198;84;Directed;;;
198;87;Directed;;;
105;90;Directed;;;
172;3;Directed;;;
220;170;Directed;;;
198;172;Directed;;;
198;105;Directed;;;
133;198;Directed;;;
105;172;Directed;;;
170;162;Directed;;;
87;133;Directed;;;
191;220;Directed;;;
90;191;Directed;;;
142;129;Directed;;;
84;133;Directed;;;
133;123;Directed;;;
84;142;Directed;;;
133;187;Directed;;;
3;129;Directed;;;
129;3;Directed;;;
84;35;Directed;;;
129;198;Directed;;;
163;84;Directed;;;
35;133;Directed;;;
198;200;Directed;;;
198;84;Directed;;;
187;84;Directed;;;
200;84;Directed;;;
123;87;Directed;;;
200;87;Directed;;;
87;201;Directed;;;
133;198;Directed;;;
198;172;Directed;;;
35;111;Directed;;;
172;3;Directed;;;
111;133;Directed;;;
80;142;Directed;;;
142;35;Directed;;;
129;80;Directed;;;
133;163;Directed;;;
201;84;Directed;;;
84;133;Directed;;;
105;174;Directed;;;
133;202;Directed;;;
174;84;Directed;;;
207;84;Directed;;;
133;205;Directed;;;
174;87;Directed;;;
174;221;Directed;;;
84;233;Directed;;;
205;84;Directed;;;
108;133;Directed;;;
121;133;Directed;;;
198;84;Directed;;;
202;84;Directed;;;
133;125;Directed;;;
35;108;Directed;;;
133;198;Directed;;;
105;191;Directed;;;
133;207;Directed;;;
191;84;Directed;;;
84;174;Directed;;;
170;3;Directed;;;
125;105;Directed;;;
84;3;Directed;;;
233;89;Directed;;;
89;191;Directed;;;
3;133;Directed;;;
133;142;Directed;;;
221;84;Directed;;;
142;35;Directed;;;
84;170;Directed;;;
133;105;Directed;;;
84;121;Directed;;;
84;133;Directed;;;
114;88;Directed;;;
117;84;Directed;;;
28;125;Directed;;;
133;16;Directed;;;
207;84;Directed;;;
84;35;Directed;;;
133;80;Directed;;;
133;205;Directed;;;
31;35;Directed;;;
102;80;Directed;;;
205;84;Directed;;;
35;191;Directed;;;
169;124;Directed;;;
35;133;Directed;;;
224;45;Directed;;;
45;168;Directed;;;
35;200;Directed;;;
25;31;Directed;;;
35;157;Directed;;;
133;198;Directed;;;
133;207;Directed;;;
200;117;Directed;;;
205;25;Directed;;;
80;170;Directed;;;
125;114;Directed;;;
